,Unnamed: 0,ano,cliente,uf,ocupacao,ativo_problematico,coluna_estado
6882,202,2021,PF,SP,PF - Empregado de empresa privada,11725846323.08,SÃO PAULO
6890,210,2021,PF,TO,PF - Empregado de empresa privada,92783120.92,TOCANTINS
7442,2,2022,PF,AC,PF - Empregado de empresa privada,44957241.5,ACRE
7450,10,2022,PF,AL,PF - Empregado de empresa privada,302491596.61,ALAGOAS
7458,18,2022,PF,AM,PF - Empregado de empresa privada,588391656.4300001,AMAZONAS
7466,26,2022,PF,AP,PF - Empregado de empresa privada,51663343.71,AMAPÁ
7474,34,2022,PF,BA,PF - Empregado de empresa privada,1956824398.11,BAHIA
7482,42,2022,PF,CE,PF - Empregado de empresa privada,974043265.9300001,CEARÁ
7490,50,2022,PF,DF,PF - Empregado de empresa privada,1095567827.82,DISTRITO FEDERAL
7498,58,2022,PF,ES,PF - Empregado de empresa privada,755992515.43,ESPÍRITO SANTO
7506,66,2022,PF,GO,PF - Empregado de empresa privada,2276002114.39,GOIÁS
7514,74,2022,PF,MA,PF - Empregado de empresa privada,559797215.59,MARANHÃO
7522,82,2022,PF,MG,PF - Empregado de empresa privada,4003650061.55,MINAS GERAIS
7530,90,2022,PF,MS,PF - Empregado de empresa privada,802149014.94,MATO GROSSO DO SUL
7538,98,2022,PF,MT,PF - Empregado de empresa privada,1008211499.9,MATO GROSSO
7546,106,2022,PF,PA,PF - Empregado de empresa privada,826341650.18,PARÁ
7554,114,2022,PF,PB,PF - Empregado de empresa privada,423031868.73,PARAÍBA
7562,122,2022,PF,PE,PF - Empregado de empresa privada,1352525333.65,PERNAMBUCO
7570,130,2022,PF,PI,PF - Empregado de empresa privada,251309435.17,PIAUÍ
7578,138,2022,PF,PR,PF - Empregado de empresa privada,3583345761.58,PARANÁ
7586,146,2022,PF,RJ,PF - Empregado de empresa privada,5152102069.58,RIO DE JANEIRO
7594,154,2022,PF,RN,PF - Empregado de empresa privada,504671179.51,RIO GRANDE DO NORTE
7602,162,2022,PF,RO,PF - Empregado de empresa privada,197701892.60999998,RONDÔNIA
7610,170,2022,PF,RR,PF - Empregado de empresa privada,41567085.089999996,RORAIMA
7618,178,2022,PF,RS,PF - Empregado de empresa privada,2883615361.9,RIO GRANDE DO SUL
7626,186,2022,PF,SC,PF - Empregado de empresa privada,2293608134.0,SANTA CATARINA
7634,194,2022,PF,SE,PF - Empregado de empresa privada,261808337.93,SERGIPE
7642,202,2022,PF,SP,PF - Empregado de empresa privada,17785751829.97,SÃO PAULO
7650,210,2022,PF,TO,PF - Empregado de empresa privada,165474060.94,TOCANTINS
